epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,943.443,1.17971,0.74173,1.27087,0.84396,0.74014,0.84904,0.47944,1.74045,2.6199,1.92478,0.001802,0.001802,0.001802
62,958.78,1.18683,0.71595,1.24391,0.81077,0.90526,0.90297,0.60546,1.47272,1.13525,1.8095,0.0017987,0.0017987,0.0017987
63,974.088,1.17745,0.73107,1.27352,0.87399,0.87368,0.94377,0.6527,1.29511,0.78654,1.62875,0.0017954,0.0017954,0.0017954
64,989.437,1.1697,0.71837,1.25132,0.84183,0.86316,0.90245,0.56788,1.64531,0.87979,1.90981,0.0017921,0.0017921,0.0017921
65,1004.74,1.22834,0.77973,1.29483,0.85601,0.91579,0.90559,0.59496,1.3983,0.82516,1.74098,0.0017888,0.0017888,0.0017888
66,1020.05,1.21546,0.7924,1.26434,0.79774,0.91341,0.91249,0.5972,1.55321,0.97749,1.8189,0.0017855,0.0017855,0.0017855
67,1035.35,1.11966,0.68566,1.22412,0.89793,0.87368,0.91603,0.62764,1.42058,0.77204,1.7427,0.0017822,0.0017822,0.0017822
68,1050.64,1.15902,0.71569,1.2339,0.81617,0.79451,0.84665,0.50664,1.66605,1.3426,1.91919,0.0017789,0.0017789,0.0017789
69,1065.98,1.18042,0.74419,1.27681,0.80625,0.91579,0.91836,0.62621,1.40226,0.87369,1.72277,0.0017756,0.0017756,0.0017756
70,1081.18,1.20935,0.71465,1.2637,0.87037,0.90526,0.94162,0.60725,1.47515,0.78859,1.75933,0.0017723,0.0017723,0.0017723
71,1096.48,1.17022,0.70542,1.24645,0.85475,0.88421,0.93953,0.59962,1.48489,0.80399,1.78595,0.001769,0.001769,0.001769
72,1111.73,1.09378,0.69475,1.21599,0.89074,0.85814,0.93966,0.60467,1.47413,0.70738,1.73686,0.0017657,0.0017657,0.0017657
73,1127.01,1.13722,0.69007,1.23564,0.90925,0.90526,0.93194,0.62546,1.3985,0.64522,1.67087,0.0017624,0.0017624,0.0017624
74,1142.48,1.18425,0.71944,1.2423,0.80491,0.74737,0.84937,0.49752,1.75559,1.35411,1.98837,0.0017591,0.0017591,0.0017591
75,1157.84,1.12241,0.67469,1.22158,0.8225,0.89474,0.91263,0.61067,1.46376,0.81991,1.71849,0.0017558,0.0017558,0.0017558
76,1173.1,1.13936,0.70644,1.21499,0.90362,0.88827,0.94381,0.64317,1.36473,0.65054,1.69033,0.0017525,0.0017525,0.0017525
77,1188.42,1.13697,0.72462,1.234,0.80122,0.88421,0.89202,0.57815,1.61056,0.8197,1.83449,0.0017492,0.0017492,0.0017492
78,1203.73,1.1517,0.74278,1.23412,0.87185,0.87368,0.93577,0.63532,1.2909,0.82249,1.57421,0.0017459,0.0017459,0.0017459
79,1219.05,1.14411,0.68641,1.25869,0.84363,0.89474,0.93104,0.61058,1.40144,0.71553,1.699,0.0017426,0.0017426,0.0017426
80,1234.33,1.09827,0.66296,1.19555,0.8654,0.87983,0.92178,0.60102,1.53561,0.91356,1.85708,0.0017393,0.0017393,0.0017393
81,1249.58,1.13708,0.69971,1.21498,0.84822,0.89474,0.9098,0.596,1.46238,0.95383,1.76925,0.001736,0.001736,0.001736
82,1264.92,1.13258,0.67477,1.2479,0.8524,0.93684,0.92264,0.6029,1.48201,0.95587,1.79908,0.0017327,0.0017327,0.0017327
83,1280.15,1.14632,0.68218,1.22758,0.86392,0.86882,0.92223,0.61419,1.47572,0.74224,1.83097,0.0017294,0.0017294,0.0017294
84,1295.46,1.11062,0.68272,1.22228,0.86801,0.89993,0.94881,0.6008,1.44568,0.92359,1.75281,0.0017261,0.0017261,0.0017261
85,1310.75,1.1598,0.69324,1.22744,0.8609,0.91579,0.92651,0.58991,1.53322,0.88163,1.80213,0.0017228,0.0017228,0.0017228
86,1326.05,1.15815,0.68664,1.23645,0.77997,0.87368,0.89445,0.58415,1.4732,1.2095,1.76965,0.0017195,0.0017195,0.0017195
87,1341.41,1.11541,0.72402,1.22826,0.86995,0.82105,0.91844,0.57196,1.39006,0.90854,1.68818,0.0017162,0.0017162,0.0017162
88,1356.69,1.1325,0.70282,1.23809,0.88556,0.89604,0.93302,0.60946,1.36963,0.88914,1.72517,0.0017129,0.0017129,0.0017129
89,1372,1.12455,0.66226,1.23652,0.85866,0.91579,0.93037,0.60977,1.43995,0.83716,1.73276,0.0017096,0.0017096,0.0017096
90,1387.34,1.11379,0.66461,1.209,0.74626,0.80495,0.84203,0.52203,1.63252,1.16189,1.94844,0.0017063,0.0017063,0.0017063
91,1402.62,1.09386,0.67351,1.18924,0.84367,0.85212,0.90794,0.60303,1.31866,0.86786,1.57009,0.001703,0.001703,0.001703
92,1417.92,1.12729,0.67242,1.22682,0.89557,0.92632,0.94843,0.62953,1.33898,0.72068,1.60082,0.0016997,0.0016997,0.0016997
93,1433.21,1.05603,0.64366,1.20463,0.83339,0.90526,0.92907,0.61204,1.36247,0.71877,1.70378,0.0016964,0.0016964,0.0016964
94,1448.45,1.11512,0.67778,1.24506,0.89697,0.92632,0.93277,0.61547,1.25848,0.68957,1.51383,0.0016931,0.0016931,0.0016931
95,1463.65,1.09575,0.62411,1.20819,0.87234,0.94737,0.92961,0.62368,1.37102,0.63623,1.54868,0.0016898,0.0016898,0.0016898
96,1478.92,1.08419,0.65227,1.21136,0.87304,0.83158,0.94214,0.60395,1.34412,0.75505,1.66296,0.0016865,0.0016865,0.0016865
97,1494.17,1.11452,0.66545,1.22114,0.90871,0.94303,0.96349,0.65469,1.34768,0.62661,1.57206,0.0016832,0.0016832,0.0016832
98,1509.5,1.11186,0.65465,1.20246,0.88516,0.89246,0.95328,0.64173,1.11482,0.61243,1.35821,0.0016799,0.0016799,0.0016799
99,1524.71,1.06638,0.64094,1.1807,0.81857,0.88421,0.90233,0.56931,1.51688,0.82986,1.83607,0.0016766,0.0016766,0.0016766
100,1539.93,1.06874,0.64206,1.16743,0.91102,0.86216,0.92675,0.6491,1.20675,0.60102,1.57621,0.0016733,0.0016733,0.0016733
101,1555.18,1.09645,0.62954,1.20087,0.869,0.87368,0.91665,0.60673,1.29151,0.90498,1.65894,0.00167,0.00167,0.00167
102,1570.4,1.12866,0.67125,1.23867,0.90104,0.88421,0.93021,0.60117,1.38147,0.62637,1.6423,0.0016667,0.0016667,0.0016667
103,1585.74,1.11292,0.65318,1.21472,0.86406,0.89474,0.93062,0.60855,1.38924,0.96582,1.73026,0.0016634,0.0016634,0.0016634
104,1601.05,1.10487,0.63833,1.18263,0.77957,0.90526,0.90606,0.55446,1.58112,1.39518,1.85296,0.0016601,0.0016601,0.0016601
105,1616.4,1.09012,0.64556,1.20925,0.87688,0.89969,0.94797,0.64651,1.27259,0.71144,1.61019,0.0016568,0.0016568,0.0016568
106,1631.64,1.08696,0.64936,1.198,0.89013,0.85279,0.94867,0.61361,1.34626,0.69853,1.57083,0.0016535,0.0016535,0.0016535
107,1646.89,1.10923,0.65072,1.22109,0.88607,0.87368,0.92887,0.58159,1.58264,0.88077,1.90858,0.0016502,0.0016502,0.0016502
108,1662.18,1.0714,0.64012,1.18186,0.82717,0.91579,0.94946,0.6149,1.50855,0.70608,1.80745,0.0016469,0.0016469,0.0016469
109,1677.54,1.07598,0.61897,1.17223,0.904,0.89217,0.93641,0.63649,1.2319,0.64188,1.46757,0.0016436,0.0016436,0.0016436
110,1692.9,1.06202,0.63178,1.16655,0.85158,0.96842,0.94195,0.60545,1.41296,0.70342,1.6687,0.0016403,0.0016403,0.0016403
111,1708.18,1.03849,0.62114,1.17948,0.88342,0.89474,0.93883,0.63115,1.46481,0.65926,1.7113,0.001637,0.001637,0.001637
112,1723.48,1.0712,0.62487,1.19124,0.86843,0.90328,0.93308,0.59575,1.53302,0.88771,1.74514,0.0016337,0.0016337,0.0016337
113,1738.7,1.09142,0.64021,1.18077,0.86503,0.94452,0.92739,0.6273,1.18104,0.59724,1.38217,0.0016304,0.0016304,0.0016304
114,1753.97,1.03511,0.62211,1.16164,0.77717,0.89474,0.89203,0.5901,1.27108,0.80288,1.59719,0.0016271,0.0016271,0.0016271
115,1769.29,1.09516,0.64091,1.21277,0.86671,0.92632,0.94253,0.64229,1.26096,0.66884,1.46994,0.0016238,0.0016238,0.0016238
116,1784.61,1.06521,0.6299,1.20788,0.92535,0.91344,0.95564,0.64077,1.33816,0.67739,1.66032,0.0016205,0.0016205,0.0016205
117,1799.87,1.04306,0.60597,1.17198,0.87089,0.9231,0.91911,0.62427,1.40846,0.67851,1.76632,0.0016172,0.0016172,0.0016172
118,1815.17,1.0504,0.60689,1.16694,0.82914,0.97895,0.93331,0.62275,1.40833,0.62889,1.70811,0.0016139,0.0016139,0.0016139
119,1830.44,1.04491,0.61983,1.15312,0.86205,0.91579,0.94534,0.64745,1.36803,0.66665,1.66677,0.0016106,0.0016106,0.0016106
120,1845.73,1.03829,0.62122,1.14147,0.92331,0.8872,0.95584,0.66026,1.38713,0.60279,1.74014,0.0016073,0.0016073,0.0016073
121,1861.17,1.03584,0.62942,1.16917,0.86354,0.87368,0.90994,0.58542,1.45783,0.74965,1.67172,0.001604,0.001604,0.001604
122,1876.44,1.05775,0.6208,1.1539,0.87619,0.91579,0.94887,0.64611,1.29682,0.60762,1.61882,0.0016007,0.0016007,0.0016007
