epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,844.159,1.19939,0.79557,1.10107,0.78048,0.77895,0.79755,0.46609,1.69868,2.47152,1.58144,0.0094753,0.0094753,0.0094753
55,859.608,1.19665,0.77653,1.11612,0.86633,0.88692,0.91871,0.57925,1.40011,0.75092,1.35221,0.0094654,0.0094654,0.0094654
56,875.049,1.19774,0.78334,1.11087,0.78905,0.82685,0.88085,0.56338,1.48807,1.22815,1.37176,0.0094555,0.0094555,0.0094555
57,890.474,1.20243,0.81451,1.10585,0.84372,0.93684,0.9469,0.65522,1.21027,0.71991,1.18303,0.0094456,0.0094456,0.0094456
58,905.974,1.20176,0.80416,1.10903,0.84528,0.90526,0.91279,0.59576,1.23763,0.80874,1.12194,0.0094357,0.0094357,0.0094357
59,921.351,1.21601,0.79167,1.11307,0.82576,0.94786,0.94684,0.63856,1.30203,0.67757,1.14968,0.0094258,0.0094258,0.0094258
60,936.744,1.17446,0.76546,1.08107,0.82717,0.80612,0.88686,0.60279,1.37259,0.87122,1.33835,0.0094159,0.0094159,0.0094159
61,952.106,1.18344,0.7475,1.10128,0.86205,0.92096,0.92181,0.59772,1.32372,0.86175,1.15283,0.009406,0.009406,0.009406
62,967.517,1.21962,0.75034,1.10534,0.83676,0.88421,0.90491,0.58113,1.47434,1.06766,1.34311,0.0093961,0.0093961,0.0093961
63,982.911,1.15826,0.77177,1.09893,0.89226,0.87368,0.93619,0.63174,1.3442,0.74667,1.18988,0.0093862,0.0093862,0.0093862
64,998.38,1.17513,0.77411,1.08713,0.77463,0.86316,0.86793,0.56023,1.45121,1.2507,1.34652,0.0093763,0.0093763,0.0093763
65,1013.94,1.19521,0.77637,1.08721,0.83136,0.88421,0.8761,0.53872,1.50962,1.34899,1.39934,0.0093664,0.0093664,0.0093664
66,1029.43,1.21647,0.78073,1.10438,0.86528,0.92632,0.92386,0.58239,1.29848,0.80044,1.15409,0.0093565,0.0093565,0.0093565
67,1044.86,1.16971,0.72185,1.0903,0.89891,0.84238,0.93166,0.62382,1.41303,0.88478,1.30255,0.0093466,0.0093466,0.0093466
68,1060.26,1.15557,0.75273,1.08042,0.82407,0.90526,0.89307,0.57696,1.49861,0.85888,1.31146,0.0093367,0.0093367,0.0093367
69,1075.76,1.17296,0.77352,1.08702,0.85995,0.78947,0.90627,0.60822,1.20305,1.31643,1.11587,0.0093268,0.0093268,0.0093268
70,1091.25,1.19507,0.7766,1.08613,0.86146,0.85263,0.89612,0.57384,1.29362,0.93509,1.20696,0.0093169,0.0093169,0.0093169
71,1106.72,1.1534,0.76625,1.07526,0.89201,0.86949,0.90876,0.61617,1.35361,0.86493,1.30511,0.009307,0.009307,0.009307
72,1122.15,1.12925,0.74151,1.07229,0.88259,0.87368,0.90807,0.59548,1.46506,0.84367,1.33242,0.0092971,0.0092971,0.0092971
73,1137.55,1.13968,0.74382,1.08182,0.88887,0.92618,0.93604,0.62921,1.36304,0.77503,1.22697,0.0092872,0.0092872,0.0092872
74,1153.04,1.19577,0.74707,1.09222,0.87681,0.94737,0.92953,0.60764,1.32276,2.28829,1.1619,0.0092773,0.0092773,0.0092773
75,1168.49,1.13545,0.72121,1.08204,0.88764,0.84211,0.92203,0.6091,1.48696,1.31905,1.31506,0.0092674,0.0092674,0.0092674
76,1183.96,1.16254,0.75626,1.07283,0.90137,0.90526,0.95433,0.63606,1.36465,0.70985,1.17305,0.0092575,0.0092575,0.0092575
77,1199.46,1.14394,0.75208,1.07068,0.85908,0.92632,0.95474,0.65807,1.29516,1.09301,1.11977,0.0092476,0.0092476,0.0092476
78,1214.83,1.17692,0.74905,1.07026,0.88367,0.85263,0.9195,0.5824,1.44289,0.79558,1.24292,0.0092377,0.0092377,0.0092377
79,1230.21,1.15102,0.72111,1.07317,0.77748,0.89474,0.8827,0.56601,1.24153,0.87992,1.14964,0.0092278,0.0092278,0.0092278
80,1245.67,1.10262,0.70707,1.03942,0.85085,0.9008,0.88841,0.58501,1.1792,0.76806,1.09415,0.0092179,0.0092179,0.0092179
81,1261.09,1.16281,0.73095,1.08076,0.90161,0.86316,0.89139,0.5874,1.19981,0.69721,1.13835,0.009208,0.009208,0.009208
82,1276.57,1.14669,0.70525,1.07898,0.78626,0.85191,0.84732,0.48378,1.64269,1.81865,1.47946,0.0091981,0.0091981,0.0091981
83,1292.03,1.14199,0.7197,1.06701,0.86797,0.89964,0.89524,0.57798,1.25687,1.25384,1.21702,0.0091882,0.0091882,0.0091882
84,1307.47,1.12405,0.74263,1.05731,0.88004,0.93684,0.94958,0.61764,1.21621,0.86592,1.14213,0.0091783,0.0091783,0.0091783
85,1322.92,1.16923,0.71653,1.07483,0.88307,0.84211,0.91753,0.60064,1.40735,1.0418,1.33262,0.0091684,0.0091684,0.0091684
86,1338.34,1.1445,0.71988,1.06744,0.84735,0.92632,0.93798,0.61361,1.27025,0.88328,1.1554,0.0091585,0.0091585,0.0091585
87,1353.8,1.11798,0.72328,1.05828,0.87637,0.93684,0.93862,0.61267,1.2205,0.70426,1.14161,0.0091486,0.0091486,0.0091486
88,1369.27,1.12492,0.72424,1.07663,0.87839,0.8364,0.91142,0.5967,1.28244,0.72437,1.15538,0.0091387,0.0091387,0.0091387
89,1384.72,1.13036,0.70123,1.07316,0.8717,0.87368,0.92613,0.60305,1.40658,0.77522,1.32723,0.0091288,0.0091288,0.0091288
90,1400.09,1.11535,0.71251,1.04881,0.87568,0.91579,0.9356,0.62595,1.34994,0.64574,1.30842,0.0091189,0.0091189,0.0091189
91,1415.5,1.10813,0.71109,1.05472,0.73272,0.69259,0.75471,0.39996,1.8587,1.84049,1.67349,0.009109,0.009109,0.009109
92,1430.92,1.12097,0.71419,1.06792,0.78282,0.87268,0.8664,0.51752,1.50808,1.85981,1.41143,0.0090991,0.0090991,0.0090991
93,1446.35,1.07632,0.67738,1.04186,0.90824,0.9377,0.93881,0.6294,1.25416,0.69069,1.17718,0.0090892,0.0090892,0.0090892
94,1461.77,1.12675,0.69338,1.06769,0.86943,0.90526,0.89898,0.62059,1.27783,0.96509,1.21331,0.0090793,0.0090793,0.0090793
95,1477.13,1.10239,0.68711,1.06198,0.88147,0.92632,0.91591,0.62352,1.20932,0.63735,1.15435,0.0090694,0.0090694,0.0090694
96,1492.44,1.11305,0.70701,1.06853,0.87873,0.91579,0.91098,0.62833,1.18681,0.66378,1.15422,0.0090595,0.0090595,0.0090595
97,1507.79,1.13285,0.6972,1.06256,0.89184,0.93684,0.91759,0.61808,1.28784,0.75115,1.22872,0.0090496,0.0090496,0.0090496
98,1523.21,1.11844,0.71464,1.06082,0.90707,0.9247,0.94542,0.63039,1.28948,0.76315,1.28178,0.0090397,0.0090397,0.0090397
99,1538.69,1.09042,0.68519,1.05758,0.89953,0.85263,0.90811,0.59851,1.41426,0.70127,1.31276,0.0090298,0.0090298,0.0090298
100,1554.12,1.07459,0.66099,1.02734,0.8176,0.92632,0.88842,0.57922,1.46573,0.78762,1.44361,0.0090199,0.0090199,0.0090199
101,1569.46,1.09796,0.68137,1.04761,0.86011,0.91579,0.92048,0.61547,1.17973,0.6553,1.06857,0.00901,0.00901,0.00901
102,1584.79,1.10384,0.7049,1.05042,0.84141,0.92632,0.93951,0.65561,1.11364,0.65911,1.06778,0.0090001,0.0090001,0.0090001
103,1600.18,1.09417,0.68771,1.05622,0.86964,0.87368,0.93107,0.61142,1.29381,0.80407,1.17131,0.0089902,0.0089902,0.0089902
104,1615.57,1.08628,0.6642,1.03829,0.91292,0.88421,0.9386,0.64704,1.1517,0.65648,1.09873,0.0089803,0.0089803,0.0089803
105,1630.93,1.09502,0.67104,1.0534,0.85959,0.83777,0.91617,0.60969,1.12292,0.66768,1.08798,0.0089704,0.0089704,0.0089704
106,1646.35,1.10874,0.6736,1.05164,0.84956,0.8917,0.90901,0.60974,1.21606,0.76223,1.15026,0.0089605,0.0089605,0.0089605
107,1661.69,1.08861,0.67572,1.04414,0.88034,0.9293,0.94305,0.62315,1.36518,0.69976,1.16391,0.0089506,0.0089506,0.0089506
108,1677.08,1.09414,0.67072,1.05623,0.87252,0.93684,0.94593,0.62437,1.27173,0.68241,1.13332,0.0089407,0.0089407,0.0089407
109,1692.43,1.08605,0.68156,1.04078,0.82255,0.87832,0.90044,0.60122,1.2241,0.95753,1.13479,0.0089308,0.0089308,0.0089308
110,1707.83,1.09227,0.67702,1.04171,0.56557,0.69892,0.62898,0.2956,2.00991,3.12648,1.77402,0.0089209,0.0089209,0.0089209
111,1723.26,1.0527,0.65717,1.03704,0.49261,0.43158,0.438,0.17273,2.48171,3.82493,2.23138,0.008911,0.008911,0.008911
112,1738.7,1.07377,0.68124,1.04505,0.80708,0.94737,0.90537,0.59377,1.18746,0.79615,1.1518,0.0089011,0.0089011,0.0089011
113,1754.15,1.07482,0.66015,1.0347,0.8853,0.96842,0.95417,0.64703,1.13712,0.66342,1.08948,0.0088912,0.0088912,0.0088912
114,1769.56,1.0459,0.66769,1.03469,0.84214,0.87368,0.92803,0.62813,1.28791,0.63704,1.27494,0.0088813,0.0088813,0.0088813
115,1784.87,1.07757,0.67635,1.04648,0.89552,0.9023,0.95082,0.66109,1.08768,0.61096,1.06736,0.0088714,0.0088714,0.0088714
116,1800.28,1.06407,0.66513,1.05652,0.83618,0.91339,0.9388,0.63739,1.38535,0.73644,1.31032,0.0088615,0.0088615,0.0088615
117,1815.64,1.06754,0.62846,1.0434,0.85311,0.94737,0.94409,0.64706,1.37335,0.74462,1.2647,0.0088516,0.0088516,0.0088516
118,1830.99,1.07101,0.64132,1.03411,0.87986,0.87368,0.9248,0.62181,1.34586,0.72733,1.22476,0.0088417,0.0088417,0.0088417
119,1846.34,1.0553,0.6668,1.03123,0.908,0.93501,0.95574,0.62997,1.21754,0.71687,1.1101,0.0088318,0.0088318,0.0088318
120,1861.67,1.03874,0.6413,1.01301,0.85717,0.91579,0.92232,0.63047,1.20341,0.64464,1.09497,0.0088219,0.0088219,0.0088219
121,1877.03,1.01248,0.64036,1.02348,0.79429,0.85263,0.89215,0.6015,1.22035,0.89715,1.12303,0.008812,0.008812,0.008812
122,1892.35,1.06721,0.67277,1.01905,0.92166,0.74312,0.89084,0.62712,1.16416,0.7947,1.07151,0.0088021,0.0088021,0.0088021
123,1907.74,1.05488,0.66273,1.03223,0.85765,0.81053,0.89872,0.61791,1.20509,0.75396,1.0883,0.0087922,0.0087922,0.0087922
124,1923.07,1.01113,0.63201,1.00295,0.88893,0.91579,0.93618,0.64492,1.12284,0.71867,1.09614,0.0087823,0.0087823,0.0087823
